post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47691730,I Ported Mac OS X to the Nintendo Wii,entertainment,288,56,blkhp19,2026-04-08 22:47:14,0.19377162629757785,True
47687273,Git commands I run before reading any code,technology,1159,259,grepsedawk,2026-04-08 22:47:15,0.22327586206896552,True
47692102,Muse Spark – Meta Superintelligence Labs,sports,119,79,snowman647,2026-04-08 22:47:16,0.6583333333333333,False
47692043,Muse Spark: Scaling Towards Personal Superintelligence,worldnews,50,18,chabons,2026-04-08 22:47:17,0.35294117647058826,False
47689174,MegaTrain: Full Precision Training of 100B+ Parameter LLMs on a Single GPU,technology,163,36,chrsw,2026-04-08 22:47:18,0.21951219512195122,False
47688678,They're Made Out of Meat (1991),sports,185,61,surprisetalk,2026-04-08 22:47:19,0.3279569892473118,False
47686549,Veracrypt project update,science,845,311,super256,2026-04-08 22:47:19,0.367612293144208,True
47687248,Škoda DuoBell: A bicycle bell that penetrates noise-cancelling headphones,technology,344,426,ra,2026-04-08 22:47:20,1.2347826086956522,True
47689648,"The Future of Everything Is Lies, I Guess",worldnews,154,114,pabs3,2026-04-08 22:47:21,0.7354838709677419,False
47690977,"Microsoft Abruptly Terminates VeraCrypt Account, Halting Windows Updates",science,165,35,donohoe,2026-04-08 22:47:23,0.21084337349397592,False
47689237,US cities are axing Flock Safety surveillance technology,technology,378,203,giuliomagnifico,2026-04-08 22:47:24,0.5356200527704486,True
47654062,Ask HN: Any interesting niche hobbies?,sports,44,60,e-topy,2026-04-08 22:47:25,1.3333333333333333,False
47690797,Show HN: Go-Bt: Minimalist Behavior Trees for Go,entertainment,26,2,rvitorper,2026-04-08 22:47:26,0.07407407407407407,False
47675446,Audio Reactive LED Strips Are Diabolically Hard,sports,132,38,surprisetalk,2026-04-08 22:47:27,0.2857142857142857,False
47691174,Show HN: Explore the Silk Roads through an interactive map,entertainment,27,3,intofarlands,2026-04-08 22:47:28,0.10714285714285714,False
47685739,Revision Demoparty 2026: Razor1911 [video],science,293,99,tetrisgm,2026-04-08 22:47:29,0.336734693877551,True
47676561,Teardown of unreleased LG Rollable shows why rollable phones aren't a thing,entertainment,27,13,DamnInteresting,2026-04-08 22:47:30,0.4642857142857143,False
47676509,Lunar Flyby,entertainment,906,221,kipi,2026-04-08 22:47:31,0.24366041896361632,True
47685945,We moved Railway's frontend off Next.js. Builds went from 10+ mins to under 2,technology,93,72,bundie,2026-04-08 22:47:32,0.7659574468085106,False
47648307,Virtual Mars Traverse: Every inch of Curiosity rover's path since 2012 landing,entertainment,19,2,bookofjoe,2026-04-08 22:47:32,0.1,False
47656518,Your File System Is Already A Graph Database,technology,117,56,alxndr,2026-04-08 22:47:35,0.4745762711864407,False
47645717,Union types in C# 15,sports,84,86,0x00C0FFEE,2026-04-08 22:47:36,1.011764705882353,False
47690950,Show HN: BAREmail ʕ·ᴥ·ʔ – minimalist Gmail client for bad WiFi,technology,22,17,Virgo_matt,2026-04-08 22:47:37,0.7391304347826086,False
47657204,Show HN: We built a camera only robot vacuum for less than 300$ (Well almost),entertainment,83,37,indraneelpatil,2026-04-08 22:47:38,0.44047619047619047,False
